date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:30	5804/5804	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
16:00:30	14960/14960	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
16:00:30	16112/16112	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
16:00:31	849663/849663	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2014:00:32%20GMT	https://www.classcentral.com/subject/business	D:/test/testing/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
16:00:31	6816/6816	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:00:31	9696/9696	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
16:00:31	7244/7244	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
16:00:31	8248/8248	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
16:00:32	835929/835929	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2014:00:33%20GMT	https://www.classcentral.com/subject/humanities	D:/test/testing/www.classcentral.com/subject/humanities.html	(from https://www.classcentral.com/)
16:00:32	15016/15016	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
